name,item_kind,serving_g,kcal_100g,protein_100g,carbs_100g,fat_100g,fiber_100g,sugar_100g,sodium_100g,role,cuisine,diet_tags,usda_description,image_url
Bagel,component,120,250.0,10.2,48.9,1.5,4.1,6.1,439.0,carb,intl,"balanced,wl,wg","bagels, wheat",https://live.staticflickr.com/3320/3450127430_c50631c687_b.jpg
Barley,component,120,123.0,2.3,28.2,0.4,3.8,0.3,3.0,carb,intl,"balanced,wl,diab","barley, pearled, cooked",https://live.staticflickr.com/4259/34678151060_a50e371553_b.jpg
Boiled Potato,component,120,87.0,2.3,19.6,0.2,1.8,1.4,12.0,carb,intl,"balanced,wl,diab","potatoes, red, flesh and skin, baked",https://live.staticflickr.com/2617/3897872846_577a358ee4_b.jpg
Brown Rice,component,120,123.0,2.7,25.6,1.0,1.6,0.2,4.0,carb,intl,"balanced,wl,diab","rice, brown, long-grain, cooked (includes foods for usda's food distribution program)",https://live.staticflickr.com/134/434662467_b3fec00605_b.jpg
Bulgur,component,120,83.0,3.1,18.6,0.2,4.5,0.1,5.0,carb,egyptian,"balanced,wl,diab","bulgur, cooked",https://live.staticflickr.com/2921/14031772190_9e5edb9b3b_b.jpg
Couscous,component,120,112.0,3.8,23.2,0.2,1.4,0.1,5.0,carb,egyptian,"balanced,wl,diab","couscous, cooked",https://live.staticflickr.com/1349/1246612602_ef14fb16f7.jpg
Egg Noodles,component,120,138.0,4.5,25.2,2.1,1.2,0.4,5.0,carb,intl,"balanced,wl,diab","noodles, egg, enriched, cooked",https://live.staticflickr.com/2237/2265439753_49b6ddcb8c_b.jpg
English Muffin,component,120,235.0,7.7,46.0,1.8,2.7,0.0,464.0,carb,intl,"balanced,wl,wg,diab","english muffins, plain, unenriched, with calcium propionate (includes sourdough)",https://live.staticflickr.com/5052/5393409247_596dc67d4b_b.jpg
Granola,component,40,471.0,10.1,64.4,19.8,7.0,24.0,30.0,carb,intl,"balanced,wg",(manual entry),https://live.staticflickr.com/4046/4499882995_dbfd0e902d_b.jpg
Macaroni,component,120,128.0,4.5,26.6,0.1,4.3,1.2,6.0,carb,intl,"balanced,wl,diab","macaroni, vegetable, enriched, cooked",https://live.staticflickr.com/117/260985612_ba245692be_b.jpg
Multigrain Bread,component,120,265.0,13.4,43.3,4.2,7.4,6.4,381.0,carb,intl,"balanced,wg","bread, multi-grain (includes whole-grain)",https://live.staticflickr.com/5466/17829272380_6a7cd7e4aa_b.jpg
Oatmeal (Cooked),component,120,71.0,2.5,12.0,1.5,1.7,0.3,4.0,carb,intl,"balanced,wl,diab","cereals, oats, regular and quick, unenriched, cooked with water (includes boiling and microwaving), without salt",https://live.staticflickr.com/1035/902342651_6f5cbf610a_b.jpg
Pasta,component,120,158.0,5.8,30.9,0.9,1.8,0.6,1.0,carb,intl,"balanced,wl,wg,diab","pasta, cooked, enriched, without added salt",https://live.staticflickr.com/4006/4549870013_73d6068409_b.jpg
Pita Bread,component,120,275.0,9.1,55.7,1.2,2.2,1.3,536.0,carb,egyptian,"balanced,wg,diab","bread, pita, white, enriched",https://live.staticflickr.com/8194/8435225141_bc43164035_b.jpg
Quinoa,component,120,120.0,4.4,21.3,1.9,2.8,0.9,7.0,carb,intl,"balanced,wl,diab","quinoa, cooked",https://live.staticflickr.com/5215/5459511727_ab1cbbf7ba_b.jpg
Rice Cakes,component,18,387.0,8.2,81.5,2.8,4.2,0.6,26.0,carb,intl,"balanced,wg,diab",(manual entry),https://live.staticflickr.com/7354/9656164568_4ee06ddd4b_b.jpg
Rice Noodles,component,120,108.0,1.8,24.0,0.2,1.0,0.0,19.0,carb,intl,"balanced,wl,diab","rice noodles, cooked",https://live.staticflickr.com/114/313555548_4e6aea2f6c_b.jpg
Rye Bread,component,120,259.0,8.5,48.3,3.3,5.8,3.8,603.0,carb,intl,"balanced,wg,diab","bread, rye",https://live.staticflickr.com/2673/4222865830_ce5558dc31_b.jpg
Sourdough Bread,component,120,270.0,10.3,52.6,2.0,2.8,3.5,477.0,carb,intl,"balanced,wg,diab","muffins, english, plain, toasted, enriched, with calcium propionate (includes sourdough)",https://live.staticflickr.com/5091/5393856690_e97a3881f8_b.jpg
Sweet Potato,component,120,90.0,2.0,20.7,0.2,3.3,6.5,246.0,carb,intl,"balanced,wl","sweet potato, cooked, baked in skin, flesh, with salt",https://live.staticflickr.com/1135/4727678141_bf976c4b00.jpg
Taro,component,120,142.0,0.5,34.6,0.1,5.1,0.5,251.0,carb,intl,"balanced,wl,diab","taro, cooked, with salt",https://live.staticflickr.com/1370/626245963_45390ac8ea_b.jpg
Tortilla,component,120,218.0,5.7,44.6,2.8,6.3,0.9,45.0,carb,intl,"balanced,wl,wg,diab","tortillas, ready-to-bake or -fry, corn",https://live.staticflickr.com/2294/13084804685_1831c61c8f_b.jpg
White Bread,component,120,267.0,8.2,49.6,3.6,2.3,4.3,298.0,carb,intl,"balanced,wg,diab","bread, white, commercially prepared, low sodium, no salt",https://live.staticflickr.com/4068/5076899884_31824a869d_b.jpg
White Rice,component,120,130.0,2.4,28.7,0.2,0.0,0.0,0.0,carb,intl,"balanced,wl,diab","rice, white, short-grain, enriched, cooked",https://live.staticflickr.com/159/429065642_50df514e27_b.jpg
Whole Wheat Bread,component,120,252.0,12.4,42.7,3.5,6.0,4.3,455.0,carb,intl,"balanced,wg,diab","bread, whole-wheat, commercially prepared",https://live.staticflickr.com/2213/1603076490_d5fbe904d9_b.jpg
Yam,component,120,116.0,1.5,27.5,0.1,3.9,0.5,8.0,carb,intl,"balanced,wl,diab","yam, cooked, boiled, drained, or baked, without salt",https://live.staticflickr.com/35/70320951_344344268d_b.jpg
Almond Butter,component,30,614.0,21.0,18.8,55.5,10.3,6.3,227.0,fat,intl,"balanced,hp,wg","nuts, almond butter, plain, with salt added",https://live.staticflickr.com/4028/4437073541_cc3850e6f1_b.jpg
